sample	code	conc	rep	date	bac
s110	6-3	500	2.00	04/11/2018	E. coli
s111	7-1	250	2.00	04/11/2018	E. coli
s112	7-2	250	2.00	04/11/2018	E. coli
s113	7-3	250	2.00	04/11/2018	E. coli
s114	8-1	125	2.00	04/11/2018	E. coli
s115	8-2	125	2.00	04/11/2018	E. coli
s116	8-3	125	2.00	04/11/2018	E. coli
s117	9-1	62.5	2.00	04/11/2018	E. coli
s118	9-2	62.5	2.00	04/11/2018	E. coli
s119	9-3	62.5	2.00	04/11/2018	E. coli
s120	10-1	31.25	2.00	04/11/2018	E. coli
s121	10-2	31.25	2.00	04/11/2018	E. coli
s122	10-3	31.25	2.00	04/11/2018	E. coli
s123	11-1	15.625	2.00	04/11/2018	E. coli
s124	11-2	15.625	2.00	04/11/2018	E. coli
s125	11-3	15.625	2.00	04/11/2018	E. coli
s126	12-1	7.8125	2.00	04/11/2018	E. coli
s127	12-2	7.8125	2.00	04/11/2018	E. coli
s128	12-3	7.8125	2.00	04/11/2018	E. coli
s129	13-1	3.90625	2.00	04/11/2018	E. coli
s130	13-2	3.90625	2.00	04/11/2018	E. coli
s131	13-3	3.90625	2.00	04/11/2018	E. coli
s132	14-1	1.953125	2.00	04/11/2018	E. coli
s133	14-2	1.953125	2.00	04/11/2018	E. coli
s134	14-3	1.953125	2.00	04/11/2018	E. coli
s135	15-1	0	2.00	04/11/2018	E. coli
s136	15-2	0	2.00	04/11/2018	E. coli
s137	15-3	0	2.00	04/11/2018	E. coli
